Time,Voltage,Current,Temperature,Gas,Label,dV_dt,dT_dt,Power
55,3.9,-390.46,29.37,120,0,0.02,0.02,-1522.794
56,3.9,-403.86,29.32,120,0,0,-0.05,-1575.054
57,3.91,-422.43,29.3,120,0,0.01,-0.02,-1651.7013
58,3.92,-394.65,29.32,123,0,0.01,0.02,-1547.028
59,3.92,-412.77,29.32,122,0,0,0,-1618.0584
60,3.91,-382.28,29.3,128,0,-0.01,-0.02,-1494.7148
61,3.91,-376.51,29.31,127,0,0,0.01,-1472.1541
62,3.92,-398.47,29.28,125,0,0.01,-0.03,-1562.0024
63,3.93,-389.11,29.32,127,0,0.01,0.04,-1529.2023
64,3.94,-405.8,29.25,124,0,0.01,-0.07,-1598.852
65,3.94,-399.07,29.24,127,0,0,-0.01,-1572.3358
66,3.94,-388.54,29.24,130,0,0,0,-1530.8476
67,3.95,-384.19,29.26,129,0,0.01,0.02,-1517.5505
68,3.97,-360.26,29.18,128,0,0.02,-0.08,-1430.2322
69,3.98,-361.86,29.21,130,0,0.01,0.03,-1440.2028
70,3.98,-379.95,29.13,135,0,0,-0.08,-1512.201
71,3.97,-375.18,29.14,134,0,-0.01,0.01,-1489.4646
72,3.97,-372.91,29.17,136,0,0,0.03,-1480.4527
73,3.96,-406.43,29.14,136,0,-0.01,-0.03,-1609.4628
74,3.95,-378.31,29.13,136,0,-0.01,-0.01,-1494.3245
75,3.96,-392.43,29.15,140,0,0.01,0.02,-1554.0228
76,3.95,-389.83,29.14,141,0,-0.01,-0.01,-1539.8285
77,3.95,-377.31,29.14,139,0,0,0,-1490.3745
78,3.98,-361.76,29.13,145,0,0.03,-0.01,-1439.8048
79,3.99,-361.47,29.22,142,0,0.01,0.09,-1442.2653
80,3.99,-390.19,29.26,137,0,0,0.04,-1556.8581
81,4,-381.81,29.3,135,0,0.01,0.04,-1527.24
82,4,-361.28,29.33,135,0,0,0.03,-1445.12
83,4.02,-361.73,29.26,139,0,0.02,-0.07,-1454.1546
84,4.02,-350.03,29.16,136,0,0,-0.1,-1407.1206
85,4.03,-363.76,29.14,138,0,0.01,-0.02,-1465.9528
86,4.02,-364.26,29.19,143,0,-0.01,0.05,-1464.3252
87,4.02,-382.85,29.25,143,0,0,0.06,-1539.057
88,4.03,-370.98,29.29,143,0,0.01,0.04,-1495.0494
89,4.04,-361.81,29.25,146,0,0.01,-0.04,-1461.7124
90,4.03,-361.11,29.29,145,0,-0.01,0.04,-1455.2733
91,4.04,-370.61,29.36,141,0,0.01,0.07,-1497.2644
92,4.05,-354.59,29.35,136,0,0.01,-0.01,-1436.0895
93,4.03,-348.07,29.29,138,0,-0.02,-0.06,-1402.7221
94,4.03,-362.73,29.33,137,0,0,0.04,-1461.8019
95,4.03,-363.05,29.31,135,0,0,-0.02,-1463.0915
96,4.02,-380.58,29.31,128,0,-0.01,0,-1529.9316
97,4.02,-375.22,29.31,127,0,0,0,-1508.3844
98,4.02,-362.79,29.28,124,0,0,-0.03,-1458.4158
99,4.01,-352.44,29.35,123,0,-0.01,0.07,-1413.2844
100,4.02,-287.28,29.35,126,0,0.01,0,-1154.8656
101,4.03,-209.21,29.29,126,0,0.01,-0.06,-843.1163
102,4.03,-143.78,29.25,124,0,0,-0.04,-579.4334
103,4.05,-74.4,29.25,129,0,0.02,0,-301.32
104,4.07,-24.65,29.23,134,0,0.02,-0.02,-100.3255
105,4.07,-9.31,29.27,139,0,0,0.04,-37.8917
106,4.07,32.14,29.25,139,0,0,-0.02,130.8098
107,4.07,50.85,29.23,136,0,0,-0.02,206.9595
108,4.05,81.74,29.24,136,0,-0.02,0.01,331.047
109,4.05,139.99,29.26,133,0,0,0.02,566.9595
110,4.07,202.75,29.3,130,0,0.02,0.04,825.1925
111,4.07,181.6,29.24,131,0,0,-0.06,739.112
112,4.06,191.6,29.19,131,0,-0.01,-0.05,777.896
113,4.05,207.58,29.16,130,0,-0.01,-0.03,840.699
114,4.05,210.92,29.2,133,0,0,0.04,854.226
115,4.03,219.02,29.23,132,0,-0.02,0.03,882.6506
116,4.04,247.12,29.25,137,0,0.01,0.02,998.3648
117,4.04,265.49,29.23,135,0,0,-0.02,1072.5796
118,4.05,267.98,29.14,136,0,0.01,-0.09,1085.319
119,4.06,284.86,29.06,133,0,0.01,-0.08,1156.5316
120,4.07,275.33,29,134,0,0.01,-0.06,1120.5931
121,4.08,270.48,29.01,136,0,0.01,0.01,1103.5584
122,4.08,264.49,28.97,135,0,0,-0.04,1079.1192
123,4.08,310.3,28.98,135,0,0,0.01,1266.024
124,4.07,283.27,29.04,137,0,-0.01,0.06,1152.9089
125,4.08,296.62,29.03,134,0,0.01,-0.01,1210.2096
126,4.08,303.87,29.07,137,0,0,0.04,1239.7896
127,4.08,332.16,29.04,133,0,0,-0.03,1355.2128
128,4.08,323.04,29.01,126,0,0,-0.03,1318.0032
129,4.08,326.2,29.11,126,0,0,0.1,1330.896
130,4.1,307.67,29.11,128,0,0.02,0,1261.447
131,4.11,307.03,29.18,126,0,0.01,0.07,1261.8933
132,4.11,334.9,29.28,128,0,0,0.1,1376.439
133,4.1,319.99,29.24,123,0,-0.01,-0.04,1311.959
134,4.1,326.21,29.29,120,0,0,0.05,1337.461
135,4.1,302.09,29.28,119,0,0,-0.01,1238.569
136,4.1,299.82,29.33,114,0,0,0.05,1229.262
137,4.1,292.52,29.43,114,0,0,0.1,1199.332
138,4.09,282.25,29.43,114,0,-0.01,0,1154.4025
139,4.08,264.47,29.4,115,0,-0.01,-0.03,1079.0376
140,4.09,250.29,29.32,111,0,0.01,-0.08,1023.6861
141,4.09,255.97,29.26,109,0,0,-0.06,1046.9173
142,4.08,268.22,29.28,106,0,-0.01,0.02,1094.3376
143,4.08,266.59,29.26,108,0,0,-0.02,1087.6872
144,4.08,275.73,29.3,105,0,0,0.04,1124.9784
145,4.07,309.29,29.25,107,0,-0.01,-0.05,1258.8103
146,4.06,319.76,29.2,104,0,-0.01,-0.05,1298.2256
147,4.04,318.65,29.15,110,0,-0.02,-0.05,1287.346
148,4.02,311.66,29.19,110,0,-0.02,0.04,1252.8732
149,4.02,322.72,29.21,105,0,0,0.02,1297.3344
150,4.01,320.3,29.16,105,0,-0.01,-0.05,1284.403
151,4.01,295.27,29.17,100,0,0,0.01,1184.0327
152,4.01,309.12,29.24,104,0,0,0.07,1239.5712
153,3.99,299.82,29.21,104,0,-0.02,-0.03,1196.2818
154,3.98,287.21,29.16,106,0,-0.01,-0.05,1143.0958
155,3.98,267.93,29.12,109,0,0,-0.04,1066.3614
156,3.99,272.07,29.12,110,0,0.01,0,1085.5593
157,3.98,264.9,29.23,110,0,-0.01,0.11,1054.302
158,3.98,265.62,29.23,109,0,0,0,1057.1676
159,3.97,292.32,29.26,107,0,-0.01,0.03,1160.5104
160,3.96,318.1,29.19,110,0,-0.01,-0.07,1259.676
161,3.96,304.45,29.2,106,0,0,0.01,1205.622
162,3.96,327.99,29.25,110,0,0,0.05,1298.8404
163,3.96,319.58,29.27,110,0,0,0.02,1265.5368
164,3.96,303.87,29.29,110,0,0,0.02,1203.3252
165,3.96,332.67,29.29,110,0,0,0,1317.3732
166,3.95,325.64,29.25,113,0,-0.01,-0.04,1286.278
167,3.94,326.63,29.31,114,0,-0.01,0.06,1286.9222
168,3.95,317.88,29.26,116,0,0.01,-0.05,1255.626
169,3.94,306.58,29.24,120,0,-0.01,-0.02,1207.9252
170,3.95,308.45,29.17,115,0,0.01,-0.07,1218.3775
171,3.94,314.49,29.12,112,0,-0.01,-0.05,1239.0906
172,3.92,288.67,29.08,114,0,-0.02,-0.04,1131.5864
173,3.93,308.05,29.07,116,0,0.01,-0.01,1210.6365
174,3.94,331.4,29.01,116,0,0.01,-0.06,1305.716
175,3.93,305.46,28.99,120,0,-0.01,-0.02,1200.4578
176,3.92,270.66,29.02,123,0,-0.01,0.03,1060.9872
177,3.91,267.09,29.03,118,0,-0.01,0.01,1044.3219
178,3.9,278.18,29.02,120,0,-0.01,-0.01,1084.902
179,3.9,268.8,29.04,126,0,0,0.02,1048.32
180,3.89,239.8,29.08,123,0,-0.01,0.04,932.822
181,3.88,251.33,29.08,127,0,-0.01,0,975.1604
182,3.89,261.88,29.13,124,0,0.01,0.05,1018.7132
183,3.89,266.24,29.16,127,0,0,0.03,1035.6736
184,3.89,295.66,29.18,129,0,0,0.02,1150.1174
185,3.9,312.2,29.17,130,0,0.01,-0.01,1217.58
186,3.89,308.89,29.19,131,0,-0.01,0.02,1201.5821
187,3.88,308.45,29.13,133,0,-0.01,-0.06,1196.786
188,3.89,315.78,29.15,132,0,0.01,0.02,1228.3842
189,3.89,318.62,29.17,133,0,0,0.02,1239.4318
190,3.88,302.84,29.16,131,0,-0.01,-0.01,1175.0192
191,3.88,303.38,29.21,127,0,0,0.05,1177.1144
192,3.88,276.12,29.21,121,0,0,0,1071.3456
193,3.87,314.45,29.15,114,0,-0.01,-0.06,1216.9215
194,3.87,308.99,29.2,118,0,0,0.05,1195.7913
195,3.87,296.25,29.27,115,0,0,0.07,1146.4875
196,3.88,289.72,29.24,113,0,0.01,-0.03,1124.1136
197,3.86,287.49,29.24,116,0,-0.02,0,1109.7114
198,3.86,307.68,29.27,118,0,0,0.03,1187.6448
199,3.86,337.99,29.28,121,0,0,0.01,1304.6414
200,3.85,235.59,29.29,118,0,-0.01,0.01,907.0215
201,3.84,120.99,29.3,116,0,-0.01,0.01,464.6016
202,3.83,47.86,29.29,116,0,-0.01,-0.01,183.3038
203,3.83,-61.23,29.23,118,0,0,-0.06,-234.5109
204,3.83,-100.45,29.23,117,0,0,0,-384.7235
205,3.82,-171.14,29.29,119,0,-0.01,0.06,-653.7548
206,3.81,-203.22,29.28,119,0,-0.01,-0.01,-774.2682
207,3.8,-248.76,29.35,121,0,-0.01,0.07,-945.288
208,3.8,-267.76,29.36,119,0,0,0.01,-1017.488
209,3.8,-289.17,29.39,120,0,0,0.03,-1098.846
210,3.79,-286.3,29.39,123,0,-0.01,0,-1085.077
211,3.8,-302.11,29.46,123,0,0.01,0.07,-1148.018
212,3.8,-335.7,29.49,127,0,0,0.03,-1275.66
213,3.81,-340.16,29.49,127,0,0.01,0,-1296.0096
214,3.8,-355.61,29.54,127,0,-0.01,0.05,-1351.318
215,3.8,-336.57,29.49,122,0,0,-0.05,-1278.966
216,3.79,-307.43,29.48,128,0,-0.01,-0.01,-1165.1597
217,3.78,-299.51,29.51,123,0,-0.01,0.03,-1132.1478
218,3.79,-317.26,29.57,125,0,0.01,0.06,-1202.4154
219,3.79,-337.59,29.55,123,0,0,-0.02,-1279.4661
220,3.8,-336.31,29.48,123,0,0.01,-0.07,-1277.978
221,3.8,-368.92,29.53,118,0,0,0.05,-1401.896
222,3.8,-384.72,29.56,114,0,0,0.03,-1461.936
223,3.8,-388.1,29.56,116,0,0,0,-1474.78
224,3.79,-394.75,29.55,119,0,-0.01,-0.01,-1496.1025
225,3.8,-392.88,29.54,118,0,0.01,-0.01,-1492.944
226,3.81,-393.17,29.59,118,0,0.01,0.05,-1497.9777
227,3.82,-382.16,29.58,117,0,0.01,-0.01,-1459.8512
228,3.82,-400,29.57,114,0,0,-0.01,-1528
229,3.82,-410.96,29.61,115,0,0,0.04,-1569.8672
230,3.8,-375.42,29.58,116,0,-0.02,-0.03,-1426.596
231,3.81,-405.69,29.6,113,0,0.01,0.02,-1545.6789
232,3.82,-398.54,29.65,113,0,0.01,0.05,-1522.4228
233,3.82,-402.5,29.65,114,0,0,0,-1537.55
234,3.83,-398.52,29.64,114,0,0.01,-0.01,-1526.3316
235,3.84,-371.57,29.66,111,0,0.01,0.02,-1426.8288
236,3.84,-375.46,29.7,110,0,0,0.04,-1441.7664
237,3.85,-365.22,29.7,113,0,0.01,0,-1406.097
238,3.86,-368.79,29.73,115,0,0.01,0.03,-1423.5294
239,3.86,-373.9,29.72,115,0,0,-0.01,-1443.254
240,3.85,-402.8,29.69,119,0,-0.01,-0.03,-1550.78
241,3.85,-419.8,29.75,122,0,0,0.06,-1616.23
242,3.83,-421.44,29.76,126,0,-0.02,0.01,-1614.1152
243,3.82,-438.59,29.8,133,0,-0.01,0.04,-1675.4138
244,3.83,-422.66,29.79,134,0,0.01,-0.01,-1618.7878
245,3.83,-409.82,29.72,134,0,0,-0.07,-1569.6106
246,3.84,-422.21,29.65,135,0,0.01,-0.07,-1621.2864
247,3.84,-404.28,29.61,135,0,0,-0.04,-1552.4352
248,3.83,-406.59,29.68,135,0,-0.01,0.07,-1557.2397
249,3.82,-412.11,29.68,137,0,-0.01,0,-1574.2602
250,3.82,-400.35,29.7,137,0,0,0.02,-1529.337
251,3.83,-396.76,29.68,135,0,0.01,-0.02,-1519.5908
252,3.84,-397.53,29.67,138,0,0.01,-0.01,-1526.5152
253,3.84,-395.05,29.66,141,0,0,-0.01,-1516.992
254,3.84,-400.15,29.75,138,0,0,0.09,-1536.576
255,3.85,-405.12,29.74,137,0,0.01,-0.01,-1559.712
256,3.87,-399.17,29.68,138,0,0.02,-0.06,-1544.7879
257,3.87,-371.61,29.65,143,0,0,-0.03,-1438.1307
258,3.88,-364.77,29.66,141,0,0.01,0.01,-1415.3076
259,3.88,-370.15,29.64,138,0,0,-0.02,-1436.182
260,3.88,-385.2,29.61,138,0,0,-0.03,-1494.576
261,3.88,-397.08,29.62,141,0,0,0.01,-1540.6704
262,3.88,-411.33,29.65,147,0,0,0.03,-1595.9604
263,3.88,-403.38,29.67,147,0,0,0.02,-1565.1144
264,3.87,-405.06,29.64,147,0,-0.01,-0.03,-1567.5822
265,3.87,-390.96,29.68,149,0,0,0.04,-1513.0152
266,3.87,-396.38,29.69,151,0,0,0.01,-1533.9906
267,3.9,-381.95,29.7,150,0,0.03,0.01,-1489.605
268,3.9,-388.83,29.65,148,0,0,-0.05,-1516.437
269,3.89,-388.61,29.61,141,0,-0.01,-0.04,-1511.6929
270,3.91,-386.92,29.62,141,0,0.02,0.01,-1512.8572
271,3.91,-379.53,29.66,140,0,0,0.04,-1483.9623
272,3.92,-364.36,29.64,140,0,0.01,-0.02,-1428.2912
273,3.93,-383.4,29.64,140,0,0.01,0,-1506.762
274,3.93,-379.29,29.74,139,0,0,0.1,-1490.6097
275,3.94,-390.19,29.7,138,0,0.01,-0.04,-1537.3486
276,3.94,-394.99,29.63,136,0,0,-0.07,-1556.2606
277,3.94,-397.29,29.58,138,0,0,-0.05,-1565.3226
278,3.94,-389.1,29.56,138,0,0,-0.02,-1533.054
279,3.94,-379.93,29.53,137,0,0,-0.03,-1496.9242
280,3.95,-385.92,29.47,139,0,0.01,-0.06,-1524.384
281,3.93,-373.11,29.42,139,0,-0.02,-0.05,-1466.3223
282,3.95,-384.91,29.45,141,0,0.02,0.03,-1520.3945
283,3.95,-432.93,29.43,142,0,0,-0.02,-1710.0735
284,3.94,-427.31,29.36,148,0,-0.01,-0.07,-1683.6014
285,3.95,-424.08,29.34,146,0,0.01,-0.02,-1675.116
286,3.94,-418.68,29.31,139,0,-0.01,-0.03,-1649.5992
287,3.94,-394.85,29.28,144,0,0,-0.03,-1555.709
288,3.94,-391.93,29.34,148,0,0,0.06,-1544.2042
289,3.96,-362.55,29.34,146,0,0.02,0,-1435.698
290,3.97,-357.99,29.33,146,0,0.01,-0.01,-1421.2203
291,3.97,-374.54,29.28,143,0,0,-0.05,-1486.9238
292,3.98,-368.97,29.26,142,0,0.01,-0.02,-1468.5006
293,3.99,-377.05,29.3,140,0,0.01,0.04,-1504.4295
294,3.99,-382.78,29.32,137,0,0,0.02,-1527.2922
295,4,-351.14,29.29,140,0,0.01,-0.03,-1404.56
296,4.02,-322.48,29.32,141,0,0.02,0.03,-1296.3696
297,4.02,-339.48,29.28,135,0,0,-0.04,-1364.7096
298,4.03,-348.61,29.26,134,0,0.01,-0.02,-1404.8983
299,4.04,-355.6,29.3,133,0,0.01,0.04,-1436.624
300,4.05,-250.77,29.35,132,0,0.01,0.05,-1015.6185
301,4.06,-143.79,29.35,128,0,0.01,0,-583.7874
302,4.06,-56.44,29.39,130,0,0,0.04,-229.1464
303,4.07,-15.61,29.4,135,0,0.01,0.01,-63.5327
304,4.06,36.74,29.47,137,0,-0.01,0.07,149.1644
305,4.08,101.11,29.47,133,0,0.02,0,412.5288
306,4.09,97.74,29.52,132,0,0.01,0.05,399.7566
307,4.1,119.5,29.47,133,0,0.01,-0.05,489.95
308,4.1,157.52,29.41,130,0,0,-0.06,645.832
309,4.11,158.62,29.48,129,0,0.01,0.07,651.9282
310,4.1,214.69,29.55,127,0,-0.01,0.07,880.229
311,4.09,220.28,29.53,134,0,-0.01,-0.02,900.9452
312,4.09,230.39,29.6,140,0,0,0.07,942.2951
313,4.1,252.6,29.64,138,0,0.01,0.04,1035.66
314,4.11,251.84,29.67,140,0,0.01,0.03,1035.0624
315,4.1,257.52,29.65,135,0,-0.01,-0.02,1055.832
316,4.11,228.99,29.65,137,0,0.01,0,941.1489
317,4.12,243.08,29.65,134,0,0.01,0,1001.4896
318,4.13,243.66,29.6,135,0,0.01,-0.05,1006.3158
319,4.13,224.69,29.61,134,0,0,0.01,927.9697
320,4.13,222.82,29.6,135,0,0,-0.01,920.2466
321,4.12,213.55,29.6,141,0,-0.01,0,879.826
322,4.13,233.01,29.61,138,0,0.01,0.01,962.3313
323,4.13,241.37,29.61,137,0,0,0,996.8581
324,4.14,236.79,29.57,134,0,0.01,-0.04,980.3106
325,4.15,254.69,29.57,132,0,0.01,0,1056.9635
326,4.14,226.93,29.5,129,0,-0.01,-0.07,939.4902
327,4.14,262.07,29.44,127,0,0,-0.06,1084.9698
328,4.13,284.95,29.39,134,0,-0.01,-0.05,1176.8435
329,4.12,322.43,29.36,132,0,-0.01,-0.03,1328.4116
330,4.12,366.8,29.35,132,0,0,-0.01,1511.216
331,4.11,367.17,29.31,124,0,-0.01,-0.04,1509.0687
332,4.11,366.17,29.38,121,0,0,0.07,1504.9587
333,4.11,349.55,29.37,125,0,0,-0.01,1436.6505
334,4.1,329.19,29.35,123,0,-0.01,-0.02,1349.679
335,4.1,336.67,29.36,122,0,0,0.01,1380.347
336,4.09,354.38,29.37,122,0,-0.01,0.01,1449.4142
337,4.1,357.53,29.37,132,0,0.01,0,1465.873
338,4.1,337.21,29.42,130,0,0,0.05,1382.561
339,4.1,335.27,29.46,128,0,0,0.04,1374.607
340,4.11,339.92,29.49,128,0,0.01,0.03,1397.0712
341,4.11,325.26,29.46,131,0,0,-0.03,1336.8186
342,4.1,343.34,29.44,129,0,-0.01,-0.02,1407.694
343,4.09,359.66,29.53,126,0,-0.01,0.09,1471.0094
344,4.09,334.86,29.55,126,0,0,0.02,1369.5774
345,4.08,331.07,29.54,129,0,-0.01,-0.01,1350.7656
346,4.07,308.01,29.61,130,0,-0.01,0.07,1253.6007
347,4.07,320.13,29.63,129,0,0,0.02,1302.9291
348,4.08,335.68,29.62,123,0,0.01,-0.01,1369.5744
349,4.06,337.5,29.67,123,0,-0.02,0.05,1370.25
350,4.06,314.38,29.65,122,0,0,-0.02,1276.3828
351,4.07,301.52,29.7,126,0,0.01,0.05,1227.1864
352,4.07,309.35,29.7,127,0,0,0,1259.0545
353,4.05,305.38,29.68,127,0,-0.02,-0.02,1236.789
354,4.05,296.23,29.66,129,0,0,-0.02,1199.7315
355,4.04,326.5,29.62,127,0,-0.01,-0.04,1319.06
356,4.05,285.71,29.65,129,0,0.01,0.03,1157.1255
357,4.05,292.39,29.68,135,0,0,0.03,1184.1795
358,4.03,248.7,29.69,138,0,-0.02,0.01,1002.261
359,4.02,249.93,29.7,139,0,-0.01,0.01,1004.7186
360,4.02,256.55,29.71,140,0,0,0.01,1031.331
361,4,289.82,29.69,142,0,-0.02,-0.02,1159.28
362,4,300.37,29.65,143,0,0,-0.04,1201.48
363,4,285.06,29.69,138,0,0,0.04,1140.24
364,4,267.81,29.7,141,0,0,0.01,1071.24
365,4,274.81,29.71,144,0,0,0.01,1099.24
366,4,272.91,29.72,146,0,0,0.01,1091.64
367,4,303.81,29.61,148,0,0,-0.11,1215.24
368,4,290.77,29.65,149,0,0,0.04,1163.08
369,4.01,305.39,29.71,151,0,0.01,0.06,1224.6139
370,4,293.13,29.7,144,0,-0.01,-0.01,1172.52
371,4,307.63,29.71,149,0,0,0.01,1230.52
372,3.99,310.3,29.69,142,0,-0.01,-0.02,1238.097
373,3.98,280,29.63,142,0,-0.01,-0.06,1114.4
374,3.97,279.96,29.63,142,0,-0.01,0,1111.4412
375,3.96,251.78,29.64,146,0,-0.01,0.01,997.0488
376,3.96,257.42,29.61,145,0,0,-0.03,1019.3832
377,3.96,259.52,29.65,145,0,0,0.04,1027.6992
378,3.95,257.47,29.6,140,0,-0.01,-0.05,1017.0065
379,3.95,265.95,29.54,143,0,0,-0.06,1050.5025
380,3.94,278.25,29.51,144,0,-0.01,-0.03,1096.305
381,3.92,267.65,29.5,141,0,-0.02,-0.01,1049.188
382,3.92,281.79,29.55,144,0,0,0.05,1104.6168
383,3.92,278.53,29.58,145,0,0,0.03,1091.8376
384,3.92,294.46,29.58,143,0,0,0,1154.2832
385,3.91,276.69,29.58,137,0,-0.01,0,1081.8579
386,3.89,292.45,29.61,141,0,-0.02,0.03,1137.6305
387,3.88,330.44,29.57,144,0,-0.01,-0.04,1282.1072
388,3.88,334.36,29.59,145,0,0,0.02,1297.3168
389,3.87,355.02,29.62,140,0,-0.01,0.03,1373.9274
390,3.88,350.33,29.58,144,0,0.01,-0.04,1359.2804
391,3.87,325.21,29.57,147,0,-0.01,-0.01,1258.5627
392,3.86,303.94,29.51,150,0,-0.01,-0.06,1173.2084
393,3.85,274.41,29.55,155,0,-0.01,0.04,1056.4785
394,3.86,266.61,29.55,152,0,0.01,0,1029.1146
395,3.86,250.43,29.54,151,0,0,-0.01,966.6598
396,3.85,232.42,29.46,150,0,-0.01,-0.08,894.817
397,3.85,256.55,29.51,151,0,0,0.05,987.7175
398,3.83,267.02,29.53,145,0,-0.02,0.02,1022.6866
399,3.84,283.18,29.56,147,0,0.01,0.03,1087.4112
400,3.83,168.43,29.51,144,0,-0.01,-0.05,645.0869
401,3.81,106.13,29.47,145,0,-0.02,-0.04,404.3553
402,3.8,56.55,29.48,147,0,-0.01,0.01,214.89
403,3.79,-3.89,29.46,147,0,-0.01,-0.02,-14.7431
404,3.78,-61.15,29.47,152,0,-0.01,0.01,-231.147
405,3.78,-105.58,29.48,151,0,0,0.01,-399.0924
406,3.78,-170.54,29.48,153,0,0,0,-644.6412
407,3.76,-178.91,29.45,151,0,-0.02,-0.03,-672.7016
408,3.76,-233.26,29.56,150,0,0,0.11,-877.0576
409,3.76,-243.87,29.58,152,0,0,0.02,-916.9512
410,3.77,-267.54,29.57,155,0,0.01,-0.01,-1008.6258
411,3.77,-284.76,29.57,154,0,0,0,-1073.5452
412,3.78,-283.2,29.56,151,0,0.01,-0.01,-1070.496
413,3.78,-294.61,29.6,153,0,0,0.04,-1113.6258
414,3.78,-307.99,29.61,151,0,0,0.01,-1164.2022
415,3.79,-305.23,29.63,154,0,0.01,0.02,-1156.8217
416,3.78,-332.07,29.56,149,0,-0.01,-0.07,-1255.2246
417,3.78,-358.98,29.49,150,0,0,-0.07,-1356.9444
418,3.79,-377.79,29.48,150,0,0.01,-0.01,-1431.8241
419,3.78,-403.08,29.45,148,0,-0.01,-0.03,-1523.6424
420,3.78,-385.11,29.44,149,0,0,-0.01,-1455.7158
421,3.78,-402.92,29.45,150,0,0,0.01,-1523.0376
422,3.78,-402.73,29.45,153,0,0,0,-1522.3194
423,3.79,-388.97,29.46,152,0,0.01,0.01,-1474.1963
424,3.8,-391.65,29.47,156,0,0.01,0.01,-1488.27
425,3.8,-398.41,29.47,151,0,0,0,-1513.958
426,3.81,-416.49,29.44,151,0,0.01,-0.03,-1586.8269
427,3.8,-418.87,29.48,148,0,-0.01,0.04,-1591.706
428,3.8,-430.88,29.51,147,0,0,0.03,-1637.344
429,3.81,-429.52,29.54,146,0,0.01,0.03,-1636.4712
430,3.81,-405,29.61,142,0,0,0.07,-1543.05
431,3.82,-383.3,29.61,143,0,0.01,0,-1464.206
